ID,type,flag,nominal,value,tolerance,upper_bound,lower_bound
1,Length,False,22.50,22.50,general,,
2,Length,False,30,30,general,,
3,Length,False,30,30,general,,
4,Length,False,15,15,general,,
5,Length,False,23650,23650,general,,
6,Length,False,3-12 RA,3-12 RA,general,,
7,Length,True,0.8-,0.8-,general,,
8,Length,False,+ 0,+ 0,general,,
9,Length,False,5,5,general,,
10,Length,False,115,115,general,,
11,Length,False,120,120,general,,
12,Thread,False,M12T25,M12T25,,,
13,Length,False,75,75,general,,
14,Length,False,30,30,general,,
15,Length,True,072,072,general,,
16,Length,False,TYP-2,TYP-2,general,,
17,Length,False,>12 RA,>12 RA,general,,
18,Length,False,64- 0.05,64- 0.05,general,,
19,Length,False,80,80,general,,
20,Length,True,6.90,6.90,general,,
